ownership_group_type,ownership_group,n_hospitals,ai_staff_scheduling_pct,ai_predict_staff_needs_pct,ai_predict_patient_demand_pct,ai_automate_routine_tasks_pct,ai_optimize_workflows_pct,ai_adoption_count_mean,ai_adoption_count_std,any_ai_adoption_mean,any_ai_adoption_std,robotics_in_hospital_pct,any_robotics_adoption_pct,adjpd_mean,adjpd_median,adjpd_std,admissions_mean,admissions_median,admissions_std,beds_mean,beds_median,beds_std,capex_mean,capex_median,capex_std
category,Nonfederal Government,1173,3.324808184143223,3.410059676044331,3.410059676044331,3.6658141517476555,5.626598465473146,0.19437340153452684,0.8051046952725704,0.07161125319693094,0.25795311161400286,15.34526854219949,15.34526854219949,74101.20971867007,29112.0,117842.98618994032,3500.102301790281,559.0,7778.894438967345,134.6854219948849,47.0,208.9806499377217,21716510.50191571,2200304.0,65774916.068110205
category,Not for profit,3168,13.320707070707073,16.193181818181817,17.01388888888889,20.391414141414142,22.001262626262626,0.8892045454545454,1.6091103508082234,0.28535353535353536,0.4516539454091639,40.08838383838384,40.08838383838384,103111.0808080808,61556.5,128912.6455585785,7592.104166666667,3393.5,10745.966330207251,178.16256313131314,101.0,222.04920222702478,24158980.253630705,6422448.0,57045865.452437066
category,For Profit,1615,2.1671826625387,1.4860681114551082,0.9907120743034057,1.3003095975232197,1.671826625386997,0.0761609907120743,0.48242481686748356,0.03281733746130031,0.17821342674921983,12.074303405572756,12.074303405572756,38916.22848297214,22854.0,50332.289283824684,3645.248297213622,1500.0,6030.478377324304,101.13869969040248,61.0,115.8334138284406,4483713.334782609,730159.0,11745050.734369181
category,Federal Government,210,0.4761904761904762,0.9523809523809524,0.4761904761904762,0.4761904761904762,1.4285714285714286,0.0380952380952381,0.3221877821439878,0.014285714285714285,0.11894960649725157,3.8095238095238098,3.8095238095238098,37152.509523809524,27422.5,40124.126574552654,3580.5761904761903,2620.0,3467.2670975490455,178.25714285714287,117.0,193.28200526995695,100708911.75,23608022.0,215511597.00198254
