Label,Treatment,Outcome,Threshold,Scenario,Clip_Lower,Clip_Upper,Trim_Lower,Trim_Upper,ATE,CI_Lower,CI_Upper,p_value,N_Retained,N_Treated_Retained,N_Control_Retained,ESS,Max_Weight,P99_Weight
MO14→DV21,mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate,0.0,clip_0.005_0.995,0.005,0.995,,,-1043.9011500707677,-1560.8161870910203,-526.9861130505151,7.55208996687795e-05,2898,414,2484,370.0136706143077,141.01680530936687,19.55823849965606
MO14→DV21,mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate,0.0,clip_0.01_0.99,0.01,0.99,,,-975.821024705788,-1378.7660282889124,-572.8760211226637,2.068886916450907e-06,2898,414,2484,409.0974144664969,100.0,19.55823849965606
MO14→DV21,mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate,0.0,clip_0.02_0.98,0.02,0.98,,,-891.1631123702279,-1154.8916963775237,-627.4345283629322,3.519340374680269e-11,2898,414,2484,551.7952822125542,50.0,19.55823849965606
MO14→DV21,mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate,0.0,trim_ps_0.05_0.95,0.01,0.99,0.05,0.95,-210.8782267258884,-405.5736283545217,-16.18282509725509,0.03376117507527532,1602,380,1222,640.598138531514,23.770589646220195,14.62736935597213
MO14→DV21,mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate,0.0,trim_empirical_common_support,0.01,0.99,0.007091353387322669,0.9318367205977348,-797.4751463417416,-1230.8143503942351,-364.135942289248,0.0003097665337461475,2734,407,2327,418.8475241977887,100.0,19.936047755675997
MO14→CT5,mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid,0.0,clip_0.005_0.995,0.005,0.995,,,-523.8135552981845,-1250.0116088565878,202.38449826021872,0.1574304371157904,2896,414,2482,373.07352634161197,141.41913201147926,19.55102296435151
MO14→CT5,mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid,0.0,clip_0.01_0.99,0.01,0.99,,,-452.5130984912807,-1094.3339419969905,189.30774501442914,0.16700554222494102,2896,414,2482,413.00842277059695,100.0,19.55102296435151
MO14→CT5,mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid,0.0,clip_0.02_0.98,0.02,0.98,,,-474.7230288658268,-941.8359483060526,-7.6101094256009105,0.04637852763718242,2896,414,2482,543.3462025487378,50.0,19.55102296435151
MO14→CT5,mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid,0.0,trim_ps_0.05_0.95,0.01,0.99,0.05,0.95,8.123198090031618,-267.1981676843128,283.44456386437605,0.9538851014594214,1605,382,1223,622.7052663037435,22.128408268277024,14.642053837156123
MO14→CT5,mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid,0.0,trim_empirical_common_support,0.01,0.99,0.007071179024906107,0.9600518064582229,-257.1285483112744,-918.0879302474398,403.8308336248909,0.4457702851008001,2740,412,2328,413.03937961255747,100.0,22.01289484712548
MO14→CT6,mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj,0.0,clip_0.005_0.995,0.005,0.995,,,-24.663970045166682,-37.547678713795705,-11.780261376537661,0.00017533678739201086,2896,414,2482,373.07352634161197,141.41913201147926,19.55102296435151
MO14→CT6,mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj,0.0,clip_0.01_0.99,0.01,0.99,,,-25.49285850836792,-37.79750234540421,-13.18821467133163,4.8916686447908475e-05,2896,414,2482,413.00842277059695,100.0,19.55102296435151
MO14→CT6,mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj,0.0,clip_0.02_0.98,0.02,0.98,,,-28.842772710112353,-39.03174646955809,-18.653798950666616,2.8840372312544105e-08,2896,414,2482,543.3462025487378,50.0,19.55102296435151
MO14→CT6,mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj,0.0,trim_ps_0.05_0.95,0.01,0.99,0.05,0.95,-6.027779431139785,-13.271760146200565,1.216201283920995,0.10290444349739825,1605,382,1223,622.7052663037435,22.128408268277024,14.642053837156123
MO14→CT6,mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj,0.0,trim_empirical_common_support,0.01,0.99,0.007071179024906107,0.9600518064582229,-16.47261301053077,-28.58511308119512,-4.360112939866422,0.007686538976959589,2740,412,2328,413.03937961255747,100.0,22.01289484712548
MO21→DV21,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate,0.0,clip_0.005_0.995,0.005,0.995,,,-635.2854049397297,-891.0753919308419,-379.4954179486175,1.1279190079704904e-06,2898,773,2125,533.991250572641,91.37732902987517,15.757420007977684
MO21→DV21,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate,0.0,clip_0.01_0.99,0.01,0.99,,,-635.3382828162688,-891.1427364051709,-379.5338292273667,1.1271782700550403e-06,2898,773,2125,534.1190667881873,91.37732902987517,15.757420007977684
MO21→DV21,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate,0.0,clip_0.02_0.98,0.02,0.98,,,-597.4494691147049,-834.998035629301,-359.9009026001089,8.243092031179344e-07,2898,773,2125,660.6187954856292,50.0,15.757420007977684
