Model,Treatment,Outcome,N,N_Treated,N_Control,ATE,CI_Lower,CI_Upper,p_value,Control_Mean,Relative_Change_Pct,Controls,COVID_Controlled
Baseline (No COVID Controls),mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate,2686,411,2275,-410.9522962166793,-788.2454123057903,-98.51521788609215,0.007984031936127744,10131.074602828812,-4.056354457225423,"iv4_social_economic_factors_score, iv2_physical_environment_score, iv3_health_behaviors_score, iv1_medicaid_expansion_active, log_population, div_2, div_3, div_4, div_5, div_6, div_7, div_8, div_9, mo11_ai_staff_scheduling_pct_spatial_lag, mo12_ai_predict_staff_needs_pct_spatial_lag, mo13_ai_predict_patient_demand_pct_spatial_lag, mo14_ai_automate_routine_tasks_pct_spatial_lag, mo15_ai_optimize_workflows_pct_spatial_lag, mo21_robotics_in_hospital_pct_spatial_lag, mo1_genai_composite_score_spatial_lag, mo2_robotics_composite_score_spatial_lag, pl1_ypll_rate",No
COVID-Adjusted (With COVID Controls),mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate,2686,411,2275,-452.06370837636496,-817.3313885304086,-161.07653514615734,0.003992015968063872,10131.074602828812,-4.462149634651187,"iv4_social_economic_factors_score, iv2_physical_environment_score, iv3_health_behaviors_score, iv1_medicaid_expansion_active, log_population, div_2, div_3, div_4, div_5, div_6, div_7, div_8, div_9, mo11_ai_staff_scheduling_pct_spatial_lag, mo12_ai_predict_staff_needs_pct_spatial_lag, mo13_ai_predict_patient_demand_pct_spatial_lag, mo14_ai_automate_routine_tasks_pct_spatial_lag, mo15_ai_optimize_workflows_pct_spatial_lag, mo21_robotics_in_hospital_pct_spatial_lag, mo1_genai_composite_score_spatial_lag, mo2_robotics_composite_score_spatial_lag, pl1_ypll_rate, cv1_covid_deaths_per_100k",Yes
