Hypothesis,Exposure,Outcome,N,OLS Beta,OLS p,CI_Lower,CI_Upper,BH Q-Value
H1,iv1_medicaid_expansion_active,dv1_clinical_care_score,3134,20.140611516032273,0.5156827826451342,-40.58859737460283,80.86982040666737,0.5729808696057047
H1,iv1_medicaid_expansion_active,dv3_avg_patient_services_margin,2108,0.011596484364058818,0.5753530817628241,-0.02897704270022428,0.05217001142834192,0.5753530817628241
H2,iv2_physical_environment_score,dv1_clinical_care_score,3134,381.13278179505227,7.683699056216484e-12,271.9903225666519,490.2752410234526,2.561233018738828e-11
H2,iv2_physical_environment_score,dv2_health_outcomes_score,3134,473.8770872627109,1.5970710770406087e-08,309.51402671372125,638.2401478117006,3.9926776926015215e-08
H2,iv2_physical_environment_score,dv3_avg_patient_services_margin,2108,-0.01459698848419319,0.4546857582422641,-0.05286421098012774,0.023670234011741356,0.5683571978028301
H3,iv3_health_behaviors_score,dv1_clinical_care_score,3134,-0.8376238058335252,0.27774589964086893,-2.3501695615726277,0.674921949905577,0.3967798566298128
H3,iv3_health_behaviors_score,dv2_health_outcomes_score,3134,26.93368218530802,6.362234931277519e-14,19.89551993866135,33.971844431954686,3.1811174656387593e-13
H4,iv4_social_economic_factors_score,dv1_clinical_care_score,3134,12.7407210780441,0.0005060546821080274,5.559949711256422,19.921492444831777,0.0008434244701800458
H4,iv4_social_economic_factors_score,dv2_health_outcomes_score,3134,267.14671530981724,3.064393371981765e-75,238.61905276304137,295.6743778565931,3.064393371981765e-74
H4,iv4_social_economic_factors_score,dv3_avg_patient_services_margin,2108,-0.006455947707411763,2.6037307529731262e-05,-0.009464645555053634,-0.003447249859769892,5.2074615059462525e-05
