Scenario,Outcome_Column,N,N_Treated,N_Control,Treatment,Treatment_Threshold_Pct,ATE,CI_Lower,CI_Upper,P_Value,Control_Mean,Relative_Change_Pct,E_Value_Point,E_Value_CI,Q_Value_FDR
Low (Suppressed=1),ct5_ypll_per_100k_low,2896,414,2482,MO14 (AI Automate Routine Tasks),0.8992471575327899,-73.48983679590697,-206.65302375323276,49.43580959726599,0.2754491017964072,1932.9855227757255,-3.8018824212597906,1.3338488674788258,1.2600195816828084,0.2754491017964072
Mid (Suppressed=5),ct5_ypll_per_100k_mid,2896,414,2482,MO14 (AI Automate Routine Tasks),0.8992471575327899,-376.00287951638074,-944.1710357082271,154.43897784117382,0.13972055888223553,5876.6705581986125,-6.39822967431473,1.3791143854888785,1.2168568030881368,0.2215568862275449
High (Suppressed=9),ct5_ypll_per_100k_high,2896,414,2482,MO14 (AI Automate Routine Tasks),0.8992471575327899,-678.5159222368566,-1704.3482826411232,243.47864880996312,0.14770459081836326,9820.3555936215,-6.909280583256732,1.3741877616429647,1.1977825737560295,0.2215568862275449
